non-preferred name	preferred name
acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta (acetoin:dcpip oxidoreductase-beta) (ao:dcpip or) (tpp-dependent acetoin dehydrogenase e1 subunit beta)	acetoin:2,6-dichlorophenolindophenol oxidoreductase, beta subunit
succinyl-CoA synthetase beta chain (SCS-alpha)(Vegetative protein 63) (VEG63)	succinyl-CoA synthetase, beta subunit
cytoChrome c-type biogenesis protein CcmE (Cytochrome c maturationprotein E) (Heme chaperone ccmE)	cytochrome c-type biogenesis protein CcmE
NADH dehydrogenase i, j subunit	NADH dehydrogenase subunit J
NADH-quinone oxidoreductase subunit k (nadhdehydrogenase i subunit k) (ndh-1 subunit k)	NADH dehydrogenase subunit K
NADH-quinone oxidoreductase subunit l (nadhdehydrogenase i subunit l) (ndh-1 subunit l)	NADH dehydrogenase subunit L
NADH-quinone oxidoreductase subunit m (nadhdehydrogenase i subunit m) (ndh-1 subunit m)	NADH dehydrogenase subunit M
penicillin-binding protein 1A (PBP-1a) (PBP1a) (Penicillin-bindingprotein A)	penicillin-binding protein 1A
NADH-quinone oxidoreductase subunit e (nadhdehydrogenase i subunit e) (ndh-1 subunit e)	NADH dehydrogenase subunit E
NADH dehydrogenase (quinone), d subunit	NADH dehydrogenase subunit D
phospholipase D (PLD) (Choline phosphatase)	phospholipase D
dephospho-CoA kinase (Dephosphocoenzyme A kinase)	dephospho-CoA kinase
permeases of the drug/metabolite transporter	permease, drug/metabolite transporter family
permeases of the major facilitator superfamily	permease, major facilitator family
periplasmic dipeptide transport protein (Dipeptide-bindingprotein) (DBP)	periplasmic dipeptide transport protein
N-acyl-D-aspartate deacylase (N-acyl-D-aspartateamidohydrolase)	N-acyl-D-aspartate deacylase
Low molecular weight protein-tyrosine-phosphatase (PTPase) (Small, acidic phosphotyrosine protein phosphatase) (PYprotein phosphatase)	low molecular weight protein-tyrosine-phosphatase
high-affinity branched-chain amino acid transport ATP-binding proteinlivF (LIV-I protein F)	high-affinity branched-chain amino acid ABC transporter, ATP-binding protein
chaperone protein HtpG (Heat shock protein htpG) (High temperatureprotein G)	chaperone protein HtpG
5-oxoprolinase (5-oxo-L-prolinase) (Pyroglutamase) (5-OPase)	5-oxoprolinase
4-oxalocrotonate decarboxylase (4-OD)	4-oxalocrotonate decarboxylase
4-hydroxyphenylpyruvate dioxygenase (4hppd) (hpd)(hppdase)	4-hydroxyphenylpyruvate dioxygenase
4-carboxymuconolactone decarboxylase (CMD)	4-carboxymuconolactone decarboxylase
3-oxoadipate CoA-transferase subunit A (Beta-ketoadipate:succinyl-CoA transferase subunit A)	3-oxoadipate CoA-transferase, A subunit
3-hydroxybutyryl-coa dehydrogenase (beta-hydroxybutyryl-coa dehydrogenase) (bhbd)	3-hydroxybutyryl-CoA dehydrogenase
u1937b; B1937_F1_4	conserved hypothetical protein
2-keto-3-deoxygluconate permease (KDG permease)	2-keto-3-deoxygluconate permease
2-hydroxymuconic semialdehyde hydrolase (hmsh)	2-hydroxymuconic semialdehyde hydrolase
2-(s)-hydroxypropyl-com dehydrogenase (s-hpcdh)(aliphatic epoxide carboxylation component iv)	2-(S)-hydroxypropyl-CoM dehydrogenase
3-hydroxyisobutyrate dehydrogenase (hibadh)	3-hydroxyisobutyrate dehydrogenase
3-hydroxybutyryl-CoA dehydratase (Crotonase)	3-hydroxybutyryl-CoA dehydratase
membrane nuclease A – hypothetical	endonuclease/exonuclease/phosphatase family protein
pXO1-51	conserved hypothetical protein
haemagglutinin	hemagglutinin
proline iminopeptidase (PIP) (Prolyl aminopeptidase)(PAP)	prolyl aminopeptidase
lipoyl synthase (Lipoic acid synthase) (Lipoate synthase)(Sulfur insertion protein LipA) (Lip-syn) (LS)	lipoyl synthase
phosphAtidylglycerophosphatase a	phosphatidylglycerophosphatase A
glycerol-3-phosphate transporter (G-3-P transporter) (G-3-P permease)	glycerol-3-phosphate transporter
aerobic cobAltochelatase subunit CobN (Hydrogenobyrinicacid a,c-diamide cobaltochelatase subunit cobN)	aerobic cobaltochelatase subunit CobN
pANL12	conserved hypothetical protein
pANL56	conserved hypothetical protein
CalU12	conserved hypothetical protein
cath1	conserved hypothetical protein
37L	conserved hypothetical protein
P6.9	conserved hypothetical protein
conserved within P. aerophilum	conserved hypothetical protein
putative K06A9.1c	conserved hypothetical protein
ycii-related	YCII-like protein
fels-1 Propage domain protein	Fels-1 prophage domain protein
3-hydroxyacyl-CoA dehydrogenase NAD-binding	3-hydroxyacyl-CoA dehydrogenase, NAD dependent
tm-1^GCR26 protein	TIM-barrel signal transduction protein
protein /y0391/	conserved hypothetical protein
pr23.1	conserved hypothetical protein
conserved hypothetical ATP/GTP-binding protein	conserved hypothetical protein
protein OrfX	conserved hypothetical protein
icef-iia Orf21	conserved hypothetical protein
icef-ia Orf22	conserved hypothetical protein
unique hypothetical membrane lipoprotein	putative lipoprotein
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK)(4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	GHMP kinase, ATP-binding protein
transcription elongation factor GreA (Transcript cleavage factorgreA)	transcription elongation factor GreA
probable endonuclease 4 (Endonuclease IV)(Endodeoxyribonuclease IV)	apurinic endonuclease (APN1)
RluA	pseudouridine synthase, RluA family
probable cytosol aminopeptidase (Leucine aminopeptidase)(LAP) (Leucyl aminopeptidase)	cytosol aminopeptidase family protein
chaperone protein DnaK (Heat shock protein 70) (Heat shock 70 kDaprotein) (HSP70)	chaperone protein DnaK
type II restriction enzyme Bsp6I (Endonuclease Bsp6I)(R.Bsp6I)	restriction endonuclease family protein
phosphomannomutase (PMM)	phosphoglucomutase/phosphomannomutase family protein
aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B)	glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, B subunit
glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADTsubunit A)	glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, A subunit
calcium-transporting ATPase (Calcium pump)	cation-transporting ATPase family protein
aspartate--ammonia ligase (Asparagine synthetase A)	aspartate--ammonia ligase
Exo	DNA polymerase type-A family protein
transketolase (TK)	transketolase
preprotein translocase, SecE subunit, putative	preprotein translocase, SecE subunit family protein
conserved hypothetical protein, putative	conserved hypothetical protein
NIF3 (NGG1p interacting factor 3), putative	NIF3 family protein
membrane protein, putative	putative membrane protein
unique hypothetical ATP/GTP-binding protein	conserved hypothetical protein
small subunit ribosomal RNA, 5' domain	small subunit ribosomal RNA
type I restriction enzyme S protein	type I restriction modification DNA specificity family protein
type I restriction enzyme EcoprrI M protein (M.EcoprrI)	type I restriction-modification system, M subunit
type I restriction enzyme EcoR124II R protein (R.EcoR124II)	type I site-specific deoxyribonuclease, HsdR
putative old protein	ATP-dependent endonuclease, OLD family
Bbp50	putative phage integrase
deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (dUTP pyrophosphatase)	dUTP diphosphatase
bcep22gp73	phosphoadenosine phosphosulfate reductase family protein
universally conserved protein	conserved hypothetical protein
truncated transposase	transposase, truncation
transposase, truncated	transposase, truncation
Na+/H+-dicarboxylate symporters	Na+/H+-dicarboxylate symporter
RNA polymerase sigma-70 factor, family	RNA polymerase sigma-70 factor, TIGR02947 family
putative ABC transporter, permease protein; putative ferrichrome transport system	putative ABC transporter, permease protein
putative putative acyltransferase	putative acyltransferase
dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (E2)(Dihydrolipoamide succinyltransferase component of 2-oxoglutaratedehydrogenase complex)	dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl-transferring) complex
malate synthase A (MSA)	malate synthase A
HTH-type transcriptional regulator XapR (Xanthosine operon regulatoryprotein)	HTH-type transcriptional regulator XapR
HTH-type transcriptional regulator IlvR (Isoleucine biosynthesistranscriptional activator)	HTH-type transcriptional regulator IlvR
L-xylulose reductase (XR) (Dicarbonyl/L-xylulosereductase)	L-xylulose reductase
ferredoxin-1 (Ferredoxin I) (FdI)	ferredoxin-1
dihydroxyacetone kinase (Glycerone kinase) (DHA kinase)	glycerone kinase
methylcrotonoyl-CoA carboxylase subunit alpha, (3-methylcrotonyl-CoA carboxylase 1) (MCCase subunitalpha) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)	methylcrotonoyl-CoA carboxylase subunit alpha
ABC transporter ATP-binding protein	ABC transporter, ATP-binding protein
superoxide dismutase [Mn/Fe]	superoxide dismutase
C- fragment of methylmalonyl-CoA carboxyltransferase	methylmalonyl-CoA carboxytransferase
putative GTPase of unknown function subfamily	putative GTPase
conserved protein, ortholog YwqG B.subtilis	conserved hypothetical protein
putative transcriptional antiterminator-fragment	putative transcriptional antiterminator
bacterial regulatory proteins, IclR family	transcriptional regulator, IclR family
ABC-type proline/glycine betaine transport systems, permease component	proline/glycine betaine ABC transporter, permease protein
bacterial regulatory proteins, GntR family	transcriptional regulator, GntR family
glyoxalase/Bleomycin resistance protein/Dioxygenas	glyoxalase family protein
glyoxalase/bleomycin resistance protein/dioxygenase	glyoxalase family protein
ATPase component of ABC transporters with duplicated ATPase domains	ABC transporter, ATP-binding protein
Na+-dependent transporters of the SNF family	Na+-dependent transporter, SNF family
bacterial regulatory proteins, TetR family	transcriptional regulator, TetR family
transcriptional regulators	transcriptional regulator
transcriptional regulators of sugar metabolism, DeoR family	transcriptional regulator, DeoR family
ABC-type transporter, permease components	ABC transporter, permease protein
secreted enzymes activator	secreted enzyme activator
Two-component system, sensory transduction histidine kinases	two-component system, sensory transduction histidine kinase
serine/threonine-protein kinases PknA	serine/threonine-protein kinase PknA
putative Protein CrcB homolog 2	CrcB-like protein
NAD-dependent deacetylase 1 (Regulatory protein SIR2homolog 1)	NAD-dependent deacetylase
6-phosphofructokinase 1 (Phosphofructokinase 1)(Phosphohexokinase 1) (ATP-PFK)	6-phosphofructokinase
3-hydroxyisobutyryl-coa hydrolase, (3-hydroxyisobutyryl-coenzyme a hydrolase) (hibyl-coa-h)(hib-coa hydrolase)	3-hydroxyisobutyryl-CoA hydrolase
23s ribosomal rna methyltransferase	23S ribosomal RNA methyltransferase
2,3-dihydroxybenzoate-AMP ligase (Dihydroxybenzoic acid-activating enzyme)	(2,3-dihydroxybenzoyl)adenylate synthase
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (Coldshock protein CSI14)	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
transposase, putative	putative transposase
F42b	conserved hypothetical protein
F0F1 ATP synthase subunit delta	ATP synthase F1, delta subunit
Dyp-type peroxidase family	Dyp-type peroxidase family protein
B229_F1_20	conserved hypothetical protein
ATP-grasp domain family	ATP-grasp domain protein
acetylornithine aminotransferase (acoat)	acetylornithine transaminase
adenine phosphoribosyltransferase (aprt)	adenine phosphoribosyltransferase
acyl-coa thioesterase 2 (acyl-coa thioesterase ii)(teii)	acyl-CoA thioesterase II
acetoin(diacetyl) reductase (Acetoin dehydrogenase) (AR)(Meso-2,3-butanediol dehydrogenase)	acetoin dehydrogenase
O-succinylbenzoate synthase (osb synthase) (osbs) (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acidsynthase)	o-succinylbenzoate synthase
binding protein (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase)	peptidyl-prolyl cis-trans isomerase
anthranilate synthase component 2 (Anthranilate synthasecomponent II) (Glutamine amido-transferase)	anthranilate synthase component II
alpha,alpha-trehalose-phosphate synthase [UDP-forming] (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphateglucosyltransferase)	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
adenylate kinase (ATP-AMP transphosphorylase) (AK)	adenylate kinase
peptidyl-dipeptidase dcp (Dipeptidyl carboxypeptidase)	peptidyl-dipeptidase Dcp
baat / aCyl-coa thioester hydrolase c superfamily	BAAT/acyl-CoA thioester hydrolase C family protein
baat / aCyl-coa thioester hydrolase c family	BAAT/acyl-CoA thioester hydrolase C family protein
exporter of the mmpl family	drug exporter, MMPL family
drug exporter of the RND superfamily	drug exporter, RND superfamily
dna segregation atpase ftsk/spoiiie family protein	DNA segregation ATPase FtsK/SpoIIIE family protein
cytoChrome c oxidase subunit 2 (Cytochrome coxidase polypeptide II) (Cytochrome aa3 subunit 2) (Oxidase aa(3)subunit 2)	cytochrome c oxidase subunit 2
cytoChrome c oxidase polypeptide 4 (Cytochrome c oxidasepolypeptide IV) (Cytochrome aa3 subunit 4)	cytochrome c oxidase polypeptide 4
glutamate-ammonia-ligase adenylyltransferase ([Glutamate--ammonia-ligase] adenylyltransferase) (Glutamine-synthetase adenylyltransferase) (ATase)	[glutamate-ammonia-ligase] adenylyltransferase
holo-[acyl-carrier-protein] synthase (Holo-ACP synthase)(4'-phosphopantetheinyl transferase AcpS)	holo-[acyl-carrier-protein] synthase
succinate-semialdehyde dehydrogenase [NADP+ ] (ssdh)	succinate-semialdehyde dehydrogenase [NAD(P)+]
signal transduction histidine-protein kinase/phosphatase MprB (Mycobacterial persistence regulator B)	signal transduction histidine-protein kinase/phosphatase MprB
ribonuclease P protein component (RNaseP protein) (RNaseP protein) (Protein C5)	ribonuclease P protein component
propionyl-CoA carboxylase beta chain (PCCase) (Propanoyl-CoA:carbon dioxide ligase)	propionyl-CoA carboxylase beta chain
precorrin-8X methylmutase (Precorrin isomerase) (HBAsynthase)	precorrin-8X methylmutase
peptidyl-prolyl cis-trans isomerase B (PPIase B)(Rotamase B) (Cyclophilin ScCypB) (S-cyclophilin)	peptidyl-prolyl cis-trans isomerase B
morphine 6-dehydrogenase (Naloxone reductase)	morphine 6-dehydrogenase
tRNA (guanine-N(1)-)-methyltransferase (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	tRNA (guanine-N(1)-)-methyltransferase
4-aminobutyrate aminotransferase ((s)-3-amino-2-methylpropionate transaminase) (gamma-amino-n-butyratetransaminase) (gaba transaminase) (glutamate:succinic semialdehydetransaminase) (gaba aminotransferase) (gaba-at) (l-aibat)	4-aminobutyrate transaminase
RNA polymerase sigma factor RpoD (Sigma-A) (Sigma-43)	RNA polymerase sigma factor RpoD
chemotaxis protein MotB (Motility protein B)	chemotaxis protein MotB
chemotaxis protein MotA (Motility protein A)	chemotaxis protein MotA
amylopullulanase (Alpha-amylase/pullulanase)	amylopullulanase
dna-3-methyladenine glycosylase (3-methyladenine dnaglycosidase) (adpg) (3-alkyladenine dna glycosylase) (n-methylpurine-dna glycosylase)	DNA-3-methyladenine glycosylase
DNA-binding protein HU 1 (DNA-binding protein II) (HB)	DNA-binding protein HU
transcription elongation factor GreA (Transcript cleavage factor greA)(General stress protein 20M) (GSP20M)	transcription elongation factor GreA
phosphoserine aminotransferase, (phosphohydroxythreonine aminotransferase) (psat)	phosphoserine transaminase
cadmium efflux system accessory protein (Cadmium resistance regulatoryprotein)	cadmium efflux system accessory protein
NADP(+)-IDH	isocitrate dehydrogenase (NADP(+))
NADP(+)-ICDH	isocitrate dehydrogenase (NADP(+))
NADP isocitric dehydrogenase	isocitrate dehydrogenase (NADP(+))
isocitrate dehydrogenase (NADP-dependent)	isocitrate dehydrogenase (NADP(+))
isocitrate dehydrogenase (NADP)	isocitrate dehydrogenase (NADP(+))
isocitrate (nicotinamide adenine dinucleotide phosphate) dehydrogenase	isocitrate dehydrogenase (NADP(+))
isocitrate (NADP) dehydrogenase	isocitrate dehydrogenase (NADP(+))
IDP	isocitrate dehydrogenase (NADP(+))
dual-cofactor-specific isocitrate dehydrogenase	isocitrate dehydrogenase (NADP(+))
UDP-ClcNAc-2-epimerase	UDP-N-acetylglucosamine 2-epimerase
transporter, major intrinsic protein (mip) family	transporter, MIP family
threonine dehydratase catabolic (threonine deaminase) (tdcb)	catabolic threonine ammonia-lyase TdcB
upf0278 family	conserved hypothetical protein
tryptophan halogenase superfamily	tryptophan halogenase family protein
transporter, divalent anion:na+ symporter (dass) family	transporter, DASS family
this family, putative	ThiS family protein
universal stress protein family	universal stress family protein
truncated hemoglobin	hemoglobin domain protein
transporter, dicarboxylate/amino acid:cation (na+ or h+) symporter (daacs) family	transporter, DAACS family
thioredoxin-2 (trx2) (protein-disulfide reductase)(disulfide reductase)	thioredoxin-2
uncharacterized protein family, upf0114	conserved hypothetical protein
trpr homolog yerc/yecd	TrpR family protein YerC/YecD
thioredoxin domain	thioredoxin domain protein
uncharacterized protein family upf0033	conserved hypothetical protein
trna/rrna methyltransferase (spou)	tRNA/rRNA methyltransferase
transporter, betaine/carnitine/choline transporter (bcct) family, putative	putative transporter, BCCT family
thiopurine s-methyltransferase (tpmt) superfamily	thiopurine S-methyltransferase family protein
uncharacterized protein family	conserved hypothetical protein
trna-processing ribonuclease bn (rnase bn)	tRNA-processing ribonuclease BN
thiopurine s-methyltransferase (thiopurinemethyltransferase) (tellurite-resistance determinant) (tel-rdeterminant)	thiopurine S-methyltransferase
zn-dependent hydrolase, including glyoxylases	Zn-dependent Hydrolase, including glyoxylase
uncharacterized domain 1, putative	conserved domain protein
trna(ile)-lysidine synthase (trna(ile)-lysidinesynthetase) (trna(ile)-2-lysyl-cytidine synthase)	tRNA(Ile)-lysidine synthase
transporter, auxin efflux carrier (aec) family	transporter, AEC family
thiol:disulfide interchange protein dsbd (protein-disulfide reductase) (disulfide reductase) (c-type cytochromebiogenesis protein cycz) (inner membrane copper tolerance protein)	thiol:disulfide interchange protein DsbD
zinc-containing alcohol dehydrogenase superfamily	alcohol dehydrogenase, zinc-dependent
uncharacterised p-loop atpase protein family (upf0042)	P-loop ATPase family protein
trna synthetases class ii (d, k and n) subfamily	tRNA synthetase class II (D, K and N) subfamily protein
translation initiation factor if-2, n-terminal region family	translation initiation factor IF-2, N-terminal domain protein
thioesterase superfamily	thioesterase superfamily protein
zinc uptake regulation protein (zinc uptake regulator)	zinc uptake regulation protein
uncharacterised bcr (cog3801) superfamily	conserved hypothetical protein
trna pseudouridine synthase c (trna-uridine isomerase c)(trna pseudouridylate synthase c)	tRNA pseudouridine synthase C
transglycosylase slt domain, putative	transglycosylase SLT domain protein
umud ortholog, peptidase family s24	peptidase family protein
trna pseudouridine synthase b (trna pseudouridine 55synthase) (psi55 synthase) (trna-uridine isomerase) (trnapseudouridylate synthase)	tRNA pseudouridine synthase B
transferase; lpxa family	transferase, LpxA family
thioesterase domain, putative subfamily	putative thioesterase domain protein
yrdc domain, putative	YrdC domain protein
udp-n-acetylmuramyl-tripeptide synthetases subfamily	UDP-N-acetylmuramyl-tripeptide synthetase subfamily protein
trna guanosine-2'-o-methyltransferase (trna [gm18]methyltransferase)	tRNA guanosine-2'-O-methyltransferase
transducer (chemotactic transducer pcta)	chemotactic transducer PctA
thioesterase domain, putative	putative thioesterase domain protein
udp-n-acetylmuramoylalanyl-d-glutamate--2,6-diaminopimelate ligase (udp-n-acetylmuramyl-tripeptide synthetase) (meso-diaminopimelate-adding enzyme) (udp-murnac-tripeptide synthetase)	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase
transcriptional regulatory protein, c terminal	transcriptional regulatory C-terminal domain protein
thiamine monophosphate synthase (tmp)	thiamine monophosphate synthase
udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-alanine ligase subfamily	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase subfamily protein
trka-n domain family	TrkA N-terminal domain protein
transcriptional regulators, trar/dksa family	transcriptional regulator, TraR/DksA family
thiamine biosynthesis protein (thii)	thiamine biosynthesis protein
yiaa/b two helix domain family	YiaA/B two helix domain family protein
udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-alanine ligase (udp-murnac-pentapeptide synthetase) (d-alanyl-d-alanine-adding enzyme)	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
trk system potassium uptake protein trka (k(+)-uptake protein trka)	Trk system potassium uptake protein TrkA
transcriptional regulators, putative	putative transcriptional regulator
thermostable dna ligase (polydeoxyribonucleotide synthase[atp]) (lig(tk))	thermostable DNA ligase
yggt family	yggt family protein
trimethylamine-n-oxide reductase 2 (tmaoreductase 2) (trimethylamine oxidase 2)	trimethylamiNe-n-oxide reductase 2
transcriptional regulators, lysr family	transcriptional regulator, LysR family
thermosome, various subunits, archaeal subfamily	thermosome, multiple subunit protein, archaeal subfamily
yd repeat (two copies)	YD repeat protein
udp-glucose 6-dehydrogenase (udp-glc dehydrogenase)(udp-glcdh) (udpgdh)	UDP-glucose 6-dehydrogenase
trimethylamine methyltransferase (mttb) subfamily	Trimethylamine methyltransferase subfamily protein
thermophilic metalloprotease (m29) superfamily	Thermophilic metalloprotease (M29) superfamily protein
ycii-related domain superfamily	YCII-like family protein
udp-4-amino-4-deoxy-l-arabinose--oxoglutarate aminotransferase (udp-(beta-l-threo-pentapyranosyl-4''-ulose diphosphate)aminotransferase)	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
trehalose-6-phosphate synthase domain, putative	trehalose-6-phosphate synthase domain protein
transcriptional regulator, tetr family protein	transcriptional regulator, TetR family
tfox c- domain family	TfoX C-terminal domain family protein
ycgl domain superfamily	YcgL domain protein
trap-t family transporter, fused small and large inner membrane subunits	trap-t family transporter, fused small and large inner membrane subunit
transcriptional regulator, laci family, putative	putative transcriptional regulator, LacI family
ycf66 protein n-terminus	Ycf66 protein N-terminal domain protein
trap-t family transporter with fused dctq/dctm subunits	trap-t family transporter, fused dctq/dctm subunit
transcriptional regulator, arac family protein	transcriptional regulator, AraC family
ycei like family	YceI-like domain protein
transposase subfamily	transposase family protein
transcriptional regulator (ntrc family)	transcriptional regulator, NtrC family
tetrahydrodipicolinate succinyltransferase n-terminal family	Tetrahydrodipicolinate succinyltransferase N-terminal domain family protein
ycdc-like protein, c-terminal region	YcdC family protein
ubiquinone/menaquinone biosynthesis methyltransferases subfamily	ubiquinone/menaquinone biosynthesis methyltransferases subfamily protein
transposase and inactivated derivatives	transposase
transcriptional activator protein nhar (na(+)/h(+) antiporterregulatory protein)	transcriptional activator protein NhaR
tena/thi-4 family	TENA/THI-4 family protein
ybak / prolyl-trna synthetases associated domain	YbaK/prolyl-tRNA synthetase-associated domain protein
ubiquinol oxidase subunit 1 (ubiquinol oxidasepolypeptide i) (cytochrome o subunit 1) (oxidase bo(3) subunit 1)	ubiquinol oxidase subunit 1
transposase (is4 family) protein	transposase, IS4 family
trag/trad family	TraG/TraD family protein
teichoic acid biosynthesis proteins	teichoic acid biosynthesis protein
xanthine phosphoribosyltransferase (xanthine-guaninephosphoribosyltransferase) (xgprt)	xanthine phosphoribosyltransferase
tyrosine-specific transport protein (tyrosine permease)	tyrosine-specific transport protein
transposase (is4 family)	transposase, IS4 family
tcp-1/cpn60 chaperonin family	TCP-1/cpn60 chaperonin family protein
wxcm-like, c-terminal superfamily	putative WxcM C-terminal domain superfamily protein
type iii effector hrp-dependent outers	type III effector Hrp-dependent outer protein
tpr repeat region superfamily	tetratricopeptide repeat family protein
tata box binding protein associated factor (taf)	TATA box binding protein associated factor
wd domain, g-beta repeat	WD domain, G-beta repeat protein
type ii secretion system protein (twitching motility protein)	type II secretion system protein
transporter, solute:sodium symporter (sss) family protein	transporter, SSS family
tonb-dependent receptor subfamily	TonB-dependent receptor subfamily protein
tat (twin-arginine translocation) pathway signal sequence domain protein	Tat pathway signal sequence domain protein
wbqc-like protein family	WbqC-like protein family protein
type i secretion target ggxgxdxxx repeat (2 copies) domain protein	type I secretion target GGXGXDXXX repeat protein domain protein
transporter, solute:sodium symporter (sss) family	transporter, SSS family
tobe domain, putative	TOBE domain protein
surface presentation of antigens (spoa) protein, putative	putative surface presentation of antigens protein
vrr-nuc domain family	VRR-NUC domain family protein
type i secretion system atpase subfamily	type I secretion system ATPase subfamily protein
transporter, small conductance mechanosensitive ion channel (mscs) family	transporter, MscS family
tnsa endonuclease n family	TnsA endonuclease N-terminal domain family protein
surface presentation of antigens (spoa) protein	surface presentation of antigens protein
type i restriction enzyme r protein n terminus (hsdr_n)	type I restriction enzyme R protein N-terminal domain protein
tm2 domain family	TM2 domain family protein
sura n-terminal domain family	SurA N-terminal domain family protein
vcbs	VCBS protein
two-component sensor kinase n-terminal family	Two-component sensor kinase N-terminal domain family protein
tldd/pmba family	TldD/PmbA family protein
superoxide dismutase [fe]	superoxide dismutase (Fe)
valine--pyruvate aminotransferase (transaminase c)(alanine--valine transaminase)	valine--pyruvate aminotransferase
ttg start	conserved hypothetical protein
transporter, monovalent cation:proton antiporter-2 (cpa2) family, putative	putative transporter, CPA2 family
tip49 c-terminus superfamily	TIP49 C-terminal domain superfamily protein
vacb and rnase ii family 3'-5' exoribonucleases	VacB and RNase II family 3'-5' exoribonuclease
tspo/mbr family	TspO/MBR family protein
transporter, monovalent cation:proton antiporter-2 (cpa2) family protein	transporter, CPA2 family
tip49 c-terminus family	TIP49 C-terminal domain family protein
uvrd/rep helicase subfamily	UvrD/REP helicase subfamily protein
tspo and mbr like proteins	TspO and MBR family protein
transporter, monovalent cation:proton antiporter-2 (cpa2) family	transporter, CPA2 family
thymidylate synthase-complementing family protein (pfam)	thymidylate synthase-complementing family protein
uracil-dna glycosylase, c-terminal	uracil-DNA glycosylase, C-terminal domain protein
transporter, membrane fusion protein (mfp) family	transporter, MFP family
thrombospondin type 3 repeat family	thrombospondin type 3 repeat family protein
uracil-dna glycosylase superfamily	uracil-DNA glycosylase superfamily protein
tryptophan-specific transport protein (tryptophan permease)	tryptophan-specific transport protein
sulfite reductase (hemoprotein)	sulfite reductase
spermine/spermidine synthase superfamily	Spermine/spermidine synthase superfamily protein
septum formation initiator subfamily	Septum formation initiator subfamily protein
rieske [2fe-2s] domain, putative	putative Rieske [2Fe-2S] domain protein
retron ec67 dna adenine methylase (orf1-ec67 dam)(m.eco67dam)	retron EC67 DNA adenine methylase
sulfide dehydrogenase [flavocytochrome c] flavoprotein chain	sulfide dehydrogenase (flavocytochrome c) flavoprotein chain
spermidine/putrescine-binding periplasmic protein (spbp)	spermidine/putrescine ABC transporter, spermidine/putrescine-binding protein
selr domain, putative	putative selR domain protein
rieske [2fe-2s] domain protein, putative	putative Rieske [2Fe-2S] domain protein
restriction modification system dna specificity domain	restriction modification system DNA specificity domain protein
sulfate transporter/antisigma-factor antagonist stas	sulfate transporter/antisigma-factor antagonist
spermidine n(1)-acetyltransferase (diamineacetyltransferase) (sat)	spermidine N(1)-acetyltransferase
rieske (2fe-2s) domain protein	Rieske [2Fe-2S] domain protein
response regulator receiver domain, putative	putative response regulator recevier domain protein
sulfate adenylyltransferase subunit 2 (sulfate adenylatetransferase) (sat) (atp-sulfurylase small subunit)	sulfate adenylyltransferase subunit 2
sodium:solute transporter family	sodium:solute transporter family protein
secretory protein containing tpr-repeats	tetratricopeptide repeat secretory protein
rickettsia 17 kda surface antigen family	17 kDa surface antigen protein
response regulator pled (stalked cell differentiation-controllingprotein), putative	putative response regulator PleD
sulfate adenylyltransferase subunit 1 (sulfate adenylatetransferase) (sat) (atp-sulfurylase large subunit)	sulfate adenylyltransferase subunit 1
sodium:neurotransmitter symporter family	Sodium:neurotransmitter symporter family protein
secretory lipase family	Secretory lipase family protein
ribulose-phosphate 3 epimerase family	ribulose-phosphate 3 epimerase family protein
response regulator pled (stalked cell differentiation-controllingprotein)	response regulator PleD
succinylglutamate desuccinylase / aspartoacylase family	succinylglutamate desuccinylase/aspartoacylase family protein
sodium/proline symporter (proline permease)	sodium/proline symporter
secreted repeat of unknown function	conserved hypothetical protein
ribosomal small subunit pseudouridine synthase a (16spseudouridylate 516 synthase) (16s pseudouridine 516 synthase) (rrna-uridine isomerase a) (rrna pseudouridylate synthase a)	ribosomal small subunit pseudouridine synthase A
